epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4822.24,1.78529,2.2944,1.76743,0.55363,0.55074,0.53474,0.25872,1.8208,1.69736,1.68933,0.00332581,0.00332581,0.00332581
2,9446.31,1.61402,1.56607,1.50397,0.61222,0.55146,0.56048,0.27748,1.82149,1.91657,1.64794,0.00662588,0.00662588,0.00662588
3,13838.8,1.68109,1.65784,1.5334,0.50012,0.47085,0.46118,0.22785,1.89603,1.86709,1.72552,0.00989265,0.00989265,0.00989265
4,18273.6,1.73749,1.80535,1.58849,0.59169,0.51532,0.53118,0.252,1.89133,1.73402,1.74532,0.00985015,0.00985015,0.00985015
5,22585.7,1.71386,1.74799,1.59134,0.62221,0.50587,0.52843,0.26268,1.85549,1.81381,1.76135,0.0098002,0.0098002,0.0098002
6,26893.6,1.68204,1.6712,1.56803,0.62354,0.53773,0.56235,0.28808,1.78907,1.65288,1.68007,0.00975025,0.00975025,0.00975025
7,31096.6,1.65214,1.59456,1.54393,0.64325,0.56348,0.59626,0.30862,1.73322,1.55891,1.64411,0.0097003,0.0097003,0.0097003
8,35330.3,1.63849,1.56178,1.53573,0.70547,0.58605,0.63018,0.3441,1.71766,1.4656,1.64885,0.00965035,0.00965035,0.00965035
