epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,195351,1.3417,0.95585,1.31732,0.81377,0.70818,0.77354,0.4602,1.50256,0.95277,1.45448,0.0059041,0.0059041,0.0059041
43,199885,1.31736,0.93829,1.29732,0.81958,0.70488,0.77542,0.46943,1.45018,0.96864,1.41999,0.0058042,0.0058042,0.0058042
44,204439,1.31524,0.93175,1.29699,0.83091,0.68731,0.77844,0.47689,1.46322,0.95452,1.4279,0.0057043,0.0057043,0.0057043
45,209270,1.31918,0.94155,1.3044,0.8181,0.7086,0.78218,0.47425,1.47561,0.9532,1.43309,0.0056044,0.0056044,0.0056044
46,214785,1.31268,0.92404,1.29485,0.83123,0.7055,0.78127,0.48172,1.42997,0.94088,1.40645,0.0055045,0.0055045,0.0055045
47,219284,1.30889,0.91892,1.29157,0.83293,0.70556,0.78251,0.47927,1.43832,0.95725,1.42036,0.0054046,0.0054046,0.0054046
48,223777,1.29474,0.90324,1.28618,0.81066,0.72922,0.78293,0.47733,1.45754,0.93571,1.41311,0.0053047,0.0053047,0.0053047
49,228268,1.27938,0.89268,1.27374,0.83143,0.72055,0.78388,0.47963,1.45722,0.93928,1.42479,0.0052048,0.0052048,0.0052048
50,232748,1.28977,0.89508,1.27638,0.83082,0.71876,0.78554,0.48263,1.4454,0.91085,1.41818,0.0051049,0.0051049,0.0051049
51,237317,1.28513,0.89276,1.27871,0.82643,0.7177,0.77962,0.47868,1.46392,0.9354,1.43997,0.005005,0.005005,0.005005
52,241779,1.27752,0.87679,1.26819,0.84284,0.71209,0.78198,0.48226,1.45657,0.9445,1.4196,0.0049051,0.0049051,0.0049051
53,246298,1.27555,0.87189,1.26891,0.82804,0.72814,0.78617,0.47939,1.45228,0.92461,1.42259,0.0048052,0.0048052,0.0048052
54,250809,1.26941,0.8642,1.26664,0.85218,0.71835,0.78114,0.48569,1.44236,0.92897,1.41091,0.0047053,0.0047053,0.0047053
55,255319,1.26443,0.85691,1.26204,0.85491,0.71665,0.79029,0.49016,1.44174,0.90674,1.41783,0.0046054,0.0046054,0.0046054
56,259802,1.26691,0.86598,1.26488,0.8404,0.73146,0.78891,0.49028,1.43681,0.91188,1.41354,0.0045055,0.0045055,0.0045055
57,264388,1.26702,0.8499,1.26029,0.82379,0.73025,0.79841,0.49603,1.43419,0.8722,1.40566,0.0044056,0.0044056,0.0044056
58,268972,1.2621,0.83053,1.25285,0.84806,0.72525,0.80121,0.49476,1.43575,0.88098,1.40682,0.0043057,0.0043057,0.0043057
59,273618,1.23716,0.82575,1.2516,0.84082,0.72748,0.80016,0.49787,1.42733,0.87293,1.40046,0.0042058,0.0042058,0.0042058
60,278309,1.24322,0.81954,1.24678,0.84698,0.71716,0.79645,0.49711,1.43194,0.88025,1.4064,0.0041059,0.0041059,0.0041059
61,283095,1.24313,0.81852,1.24349,0.8229,0.7273,0.79107,0.49552,1.4434,0.91224,1.40876,0.004006,0.004006,0.004006
62,287807,1.2198,0.79875,1.23585,0.84626,0.72462,0.79507,0.49917,1.42426,0.90898,1.39976,0.0039061,0.0039061,0.0039061
63,292306,1.22987,0.80768,1.22974,0.85437,0.72719,0.80353,0.49948,1.42966,0.88243,1.39632,0.0038062,0.0038062,0.0038062
64,296901,1.22682,0.80286,1.23625,0.8403,0.73423,0.79775,0.50025,1.42292,0.89508,1.39964,0.0037063,0.0037063,0.0037063
65,301429,1.21885,0.79787,1.23097,0.8396,0.73981,0.79861,0.49771,1.4335,0.88031,1.41223,0.0036064,0.0036064,0.0036064
66,305957,1.20885,0.79122,1.22833,0.84803,0.72678,0.79658,0.49766,1.42425,0.89487,1.41314,0.0035065,0.0035065,0.0035065
67,310478,1.20699,0.78505,1.22817,0.84527,0.73656,0.8028,0.50272,1.41766,0.88362,1.40783,0.0034066,0.0034066,0.0034066
68,314910,1.20406,0.78668,1.22466,0.83541,0.74481,0.8008,0.50274,1.42143,0.87584,1.41023,0.0033067,0.0033067,0.0033067
69,319405,1.20025,0.77252,1.21835,0.85463,0.73894,0.80277,0.50185,1.42842,0.87523,1.41052,0.0032068,0.0032068,0.0032068
70,323889,1.19873,0.76795,1.21586,0.84487,0.73875,0.80301,0.50443,1.4242,0.86934,1.41265,0.0031069,0.0031069,0.0031069
71,328325,1.19397,0.76183,1.22059,0.82842,0.75272,0.80223,0.50224,1.42787,0.86998,1.41399,0.003007,0.003007,0.003007
72,332799,1.1831,0.7631,1.21688,0.85659,0.73777,0.80723,0.50407,1.42719,0.85253,1.41083,0.0029071,0.0029071,0.0029071
73,337287,1.18625,0.75386,1.20686,0.84556,0.74331,0.80314,0.50695,1.41831,0.86219,1.40783,0.0028072,0.0028072,0.0028072
74,341777,1.18272,0.74369,1.20383,0.85797,0.73178,0.79754,0.50336,1.42449,0.8684,1.41414,0.0027073,0.0027073,0.0027073
75,346341,1.17818,0.75248,1.20799,0.87315,0.72174,0.79766,0.50403,1.40816,0.88092,1.40508,0.0026074,0.0026074,0.0026074
76,350854,1.17733,0.74255,1.2069,0.83773,0.73782,0.79345,0.50369,1.41259,0.88232,1.41038,0.0025075,0.0025075,0.0025075
77,356022,1.16499,0.73726,1.19902,0.83311,0.74178,0.79643,0.50616,1.41278,0.87072,1.40387,0.0024076,0.0024076,0.0024076
78,360535,1.165,0.7265,1.19194,0.82976,0.75438,0.80149,0.50997,1.40802,0.88928,1.4059,0.0023077,0.0023077,0.0023077
79,364967,1.14824,0.72103,1.19675,0.84606,0.73258,0.79494,0.50824,1.40621,0.89173,1.40276,0.0022078,0.0022078,0.0022078
80,369590,1.15455,0.72355,1.19046,0.82813,0.74332,0.79675,0.50646,1.40816,0.90436,1.39859,0.0021079,0.0021079,0.0021079
81,374054,1.14299,0.71167,1.1846,0.83102,0.74375,0.79786,0.50671,1.41287,0.90683,1.40034,0.002008,0.002008,0.002008
82,378513,1.13785,0.7061,1.18471,0.84669,0.74483,0.80176,0.50756,1.40681,0.90115,1.40321,0.0019081,0.0019081,0.0019081
83,382963,1.13488,0.71443,1.18432,0.84651,0.73786,0.79908,0.5097,1.39822,0.8972,1.39909,0.0018082,0.0018082,0.0018082
84,387404,1.1292,0.70611,1.1823,0.84204,0.74003,0.79971,0.50854,1.3979,0.89126,1.40318,0.0017083,0.0017083,0.0017083
85,391826,1.13479,0.70428,1.18063,0.83812,0.74586,0.79855,0.50949,1.39867,0.89895,1.39825,0.0016084,0.0016084,0.0016084
86,396242,1.12763,0.68752,1.17266,0.83094,0.74893,0.80042,0.51119,1.39655,0.89329,1.3945,0.0015085,0.0015085,0.0015085
87,400797,1.11557,0.67892,1.17047,0.8332,0.74458,0.80072,0.50943,1.40197,0.88505,1.40093,0.0014086,0.0014086,0.0014086
88,405260,1.11191,0.6753,1.16667,0.83443,0.73771,0.79784,0.50724,1.40696,0.89767,1.40492,0.0013087,0.0013087,0.0013087
89,409824,1.10879,0.67382,1.16325,0.82057,0.74761,0.79747,0.50762,1.41109,0.90024,1.407,0.0012088,0.0012088,0.0012088
90,414294,1.10389,0.67618,1.15931,0.85397,0.72276,0.79552,0.50861,1.40713,0.89317,1.40213,0.0011089,0.0011089,0.0011089
91,418832,1.01718,0.50682,1.13958,0.83356,0.738,0.79459,0.50872,1.40411,0.88404,1.39745,0.001009,0.001009,0.001009
92,423339,1.0105,0.49639,1.13201,0.82992,0.73999,0.79609,0.50866,1.4062,0.89082,1.39972,0.0009091,0.0009091,0.0009091
93,427851,0.99341,0.49173,1.12835,0.85016,0.73321,0.79521,0.50816,1.40751,0.8884,1.40497,0.0008092,0.0008092,0.0008092
94,432440,0.9914,0.49067,1.12996,0.85306,0.72717,0.79383,0.50856,1.40543,0.89064,1.4063,0.0007093,0.0007093,0.0007093
95,437011,0.97971,0.48072,1.11996,0.85412,0.72369,0.79326,0.50832,1.4064,0.8945,1.40971,0.0006094,0.0006094,0.0006094
96,441611,0.97257,0.47593,1.11686,0.83656,0.73499,0.7939,0.50746,1.40889,0.89829,1.41354,0.0005095,0.0005095,0.0005095
97,446248,0.96306,0.46903,1.11066,0.83351,0.73833,0.79323,0.50605,1.409,0.89711,1.41487,0.0004096,0.0004096,0.0004096
98,450809,0.95863,0.46682,1.10787,0.83658,0.73464,0.7924,0.50652,1.40999,0.90148,1.41684,0.0003097,0.0003097,0.0003097
99,455576,0.95254,0.45954,1.10293,0.83356,0.7377,0.79216,0.50721,1.41133,0.90787,1.41923,0.0002098,0.0002098,0.0002098
100,460010,0.95785,0.46615,1.11174,0.83224,0.73885,0.792,0.50626,1.41234,0.91146,1.4213,0.0001099,0.0001099,0.0001099
